mol,Name,Source,Tox,CAS,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
O=NN(c1ccccc1)c1ccccc1,Benzenamine  N-nitroso-N-phenyl-,DSSTox2DMolFile,4.4050002,86-30-6,30.78993,0,0,1,1,2,0,12,0,25,0,2,15,12,37.857574,1.514303,0,0,12,0,0,10,0,2,1,0,0,1.9028792,-2.2855482,-0.64469099,0.70142096,2.2288015,-2.1615095,-0.53807992,0.80591482,2.4138055,-1.936646,-0.49986199,0.85431087,2.5784385,12.55007,3,0.1875,12,26,1,16,0,3,0.1875,13,0,10.510225,8.0761786,6.7735028,8.2257681,7.4150147,4.651155,3.8213673,5.6329932,0,0,0.76224995,8,0,-0.76404345,-0.38389084,0.08163882,2.2232904,-0.84004998,-0.26386139,0.16445385,2.4067831,-0.40418866,-0.21605732,0.19305076,2.5419312,3.388835,3.2022312,3.2022312,3.4589748,3.4589748,-3.7218487,0,7.5512805,5.9518571,0,14,14,1,0,11.484375,5.915,2.9822485,7.1885195,3.5630407,1.7401723,1.7075324,3,0,1,0,4,-3.43855,5.9853148,1,1,12,1,2,3,0,0,0,0.31811276,-0.31811276,0.26967189,0.61248636,158.08495,28.022827,0,0,0,0,0,0,0,16.965525,0,0,0,0,1,0.083543845,0,0,0.91645616,0,203.0733,16.965525,0,0,186.10777,0,0.5,1,0,0,0,0,1,0,0,0,1,0,203.0733,0,0,0,203.0733,0,4,1,2,0,0,0.86666667,3.5060999,3.0017917,0,0,24.098869,0,19.702038,0,176.43184,0,5.513495,6.0818,0,19.702038,27.10066,0,5.513495,176.43184,0,0,32.669998,0.59002918,5,2.7413402,7.5227513,203.0733,246.82848,31.589249,0,0,0,171.48405,0,31.589249,198.22499,364,20,72
Clc1c(Cl)c(Cl)c(O)c(Cl)c1Cl,Phenol  pentachloro-,DSSTox2DMolFile,5.5219998,87-86-5,22.928793,0,0,1,1,1,0,6,0,13,1,2,12,11,20.986301,1.6143309,0,0,6,5,0,1,0,0,1,0,0,2.8055034,-2.0916369,-0.7025851,0.64664632,2.1755345,-1.8585424,-0.14165232,1.2108802,2.4684286,-1.7632357,-0.16316724,1.1909693,2.5102179,3.193207,0,0,6,13,0,12,1,0,0,7,0,9.4641018,9.1166811,3,3.4641016,5.4641018,4.5583405,1.5,2,0,0,1.2469728,5,0,-0.74613202,-0.42088753,-0.0098280618,1.9035548,-0.76157892,-0.041689668,0.66552299,2.2284169,-0.42520386,0.082133621,0.5794028,2.2595592,2.207268,1.8034875,0,4.7951612,4.8188376,-4.6647096,0,4.2069626,4.9849186,-0.074695945,8.0929871,14,1.3042393,0.04628199,10.083333,3.3950617,1.5625,14.64642,5.1014757,2.4104257,6.2265296,1,1,1,0,4.546,-4.6943798,5.0624981,0,1,6,1,1,0,1,0,0,0.58761287,-0.58761287,0.26124719,0.32013345,0,22.598732,0,8.458519,0,0,0,0,147.90973,0,13.566921,0,0,0,1,0.83869207,0,0,0.16130796,0,192.53391,161.47665,0,0,31.057251,0,0.2,0.25,0,0,0,0,1,0,0,0,1,0,192.53391,0,0,0,192.53391,0,4,0,1,0,0,0,4.6592002,25.385227,0,0,0,0,0,17.503033,0,0,200.98665,5.31568,0,25.385227,0,22.74646,0,0,0,195.74323,20.23,0.65002245,4.5849624,2.1339197,6.9102907,192.53391,212.7793,0,0,0,0,178.96698,0,13.566921,266.33798,174,21,60
Clc1c(O)c(Cl)cc(Cl)c1,Phenol  2 4 6-trichloro-,DSSTox2DMolFile,5.1469998,88-06-2,19.902378,0,0,1,1,1,0,6,0,13,1,2,10,9,23.086166,1.775859,0,0,6,3,0,3,0,0,1,0,0,2.5427721,-2.1171465,-0.67253357,0.67739183,2.1467197,-1.8985258,-0.33550924,1.007872,2.4187088,-1.7927182,-0.32925081,1.0203836,2.4785147,4.5396209,0,0,6,13,0,10,1,0,0,7,0,7.7236147,7.0035944,3.1547005,3.7236147,4.6090608,3.5791476,1.6547005,2.2996597,0,0,1.1112119,5,0,-0.74759185,-0.40496871,0.041665427,1.8808463,-0.76164693,-0.12002235,0.45367905,2.1621792,-0.42523336,-0.085293293,0.4254207,2.2166567,1.6933333,2.4029794,0.62145829,3.4150465,3.4310479,-3.2741952,0,3.868017,4.130157,-0.066897795,8.1445169,14,1.2783109,0.041278768,8.1000004,2.9387755,1.75,9.73248,3.6074834,2.1858258,3.5109761,1,1,1,0,3.444,-3.2258,4.2505817,0,1,6,1,1,0,0,0,0,0.43043157,-0.43043157,0.352797,0.43716878,31.616989,13.559239,0,8.458519,0,0,0,0,88.745842,0,13.566921,0,0,0,1,0.65607178,0,0,0.34392822,0,155.94751,102.31276,0,0,53.634747,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,155.94751,0,0,0,155.94751,0,3,0,1,0,0,0,3.3524001,25.385227,0,0,0,0,0,10.50182,35.286369,0,122.68936,4.3136802,0,25.385227,0,15.745248,0,35.286369,0,117.44593,20.23,0.72192812,4.321928,2.0634208,6.3502398,155.94751,174.96573,0,0,0,0,142.38058,0,13.566921,197.448,110,13,48
Clc1c([N+](=O)[O-])cccc1,Benzene  1-chloro-2-nitro-,DSSTox2DMolFile,3.6619999,88-73-3,18.111172,1,1,0,0,0,0,6,0,14,0,0,10,8,27.793194,1.9852282,0,0,6,1,0,4,0,1,2,0,0,2.4522195,-2.1031029,-0.60481608,0.65881354,2.2084432,-1.9863944,-0.43314385,0.83359182,2.3571072,-1.8426925,-0.40775406,0.87122351,2.4600737,6.0488281,1,0.1,6,14,1,10,1,1,0.1,7,0,7.5604777,5.7070045,3.309401,3.9831276,4.7152143,2.9830523,1.8273503,2.6498299,0,0,0.97833025,5,0,-0.72729105,-0.40743077,0.067395061,1.9584438,-0.80910748,-0.20551962,0.24916583,2.1181393,-0.4909029,-0.16936012,0.29605061,2.2222588,3.1030519,1.8932654,1.8932654,2.6832933,2.6832933,-2.7451189,0,4.4861097,3.7460947,0,14,14,1,0,8.1000004,3.4082839,1.9911112,6.4872184,2.6544197,1.5154071,1.72198,3,0,1,0,2.431,-2.9094,3.7795749,1,1,6,1,1,1,0,0,0,0.59239274,-0.59239274,0.50352919,0.43598676,47.425484,19.836529,4.5197463,0,0,6.6995511,0,0,29.581947,0,0,0,33.931049,0,0.71385753,0.44729257,0.23896062,0.28614247,0.55270743,0.04718183,101.36371,63.512997,33.931049,40.6306,78.481308,6.6995511,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,141.99431,0,0,0,141.99431,0,3,1,1,0,0,0,2.2481999,0,7.0856161,0,50.935009,0,0,3.5006065,70.572739,0,41.905392,3.8106401,7.0856161,0,50.935009,3.5006065,2.7567475,70.572739,0,39.148643,45.82,0.72192812,4.321928,2.1508632,6.3392239,141.99431,156.92451,0,0,0,0,108.06326,33.931049,0,157.556,114,12,46
O=[N+]([O-])c1c(O)c(C(CC)C)cc([N+](=O)[O-])c1,Phenol  2-(1-methylpropyl)-4 6-dinitro-,DSSTox2DMolFile,6,88-85-7,31.811516,1,0,0,1,1,0,6,0,29,1,2,17,12,51.032978,1.7597579,0,0,10,0,0,12,0,2,5,0,0,2.8405447,-2.5939684,-0.35326976,0.39126819,2.5621772,-2.4364071,-0.21691373,0.39967647,2.7201157,-2.3435798,-0.12474493,0.5762651,2.814657,15.630484,4,0.23529412,6,29,2,17,3,4,0.23529412,21,0,13.162772,9.4137917,6.4391575,7.0080719,7.8791165,5.0371981,3.636081,4.3256984,1,1,0.92708296,7,0,-0.78720605,-0.41830409,0.017460896,2.4770098,-0.81299865,-0.18191211,0.035693247,2.6075809,-0.52557331,-0.1284223,0.1878043,2.6952922,6.3798728,5.5545402,3.1649547,3.4258218,3.3317635,-3.5214512,0,5.6409197,6.0164604,-0.98048091,5.2990203,14,1.1009369,2.3467205,15.058824,6.25,3.4844444,11.367946,4.6278496,2.5404871,3.0946555,7,1,1,0,3.1229999,-4.3095198,5.7935581,1,1,6,1,1,4,0,0,0,1.2168839,-1.2168839,0.26190612,0.21225984,79.042473,23.864563,0,24.267014,0,6.6995511,6.6995511,0,0,0,13.566921,0,67.862099,0,0.63396215,0.36679378,0.30568212,0.36603785,0.63320619,0.060355727,140.74097,81.429016,67.862099,81.2612,140.57315,13.399102,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,222.00217,0,0,0,222.00217,0,4,1,1,0,0,0.23529412,2.7221,25.385227,14.171232,0,101.87002,3.185575,0,4.4107962,35.286369,18.868406,77.408951,6.0121598,14.171232,25.385227,101.87002,12.839799,5.513495,54.154774,0,66.652031,111.87,0.52255934,5.0874629,2.6786489,7.9205613,222.00217,246.06104,0,0,0,0,140.57315,67.862099,13.566921,240.215,486,27,82
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1,Phenol  2 4 6-trinitro-,DSSTox2DMolFile,3.431,88-89-1,21.474379,1,1,0,0,1,0,6,0,19,1,2,16,9,36.039589,1.8968204,0,0,6,0,0,3,0,3,7,0,0,2.825423,-2.0768003,-0.40889814,0.60048771,2.3712707,-2.0555043,-0.36245573,0.51613373,2.4639239,-1.9212031,-0.23968752,0.75833958,2.5148427,7.0476208,3,0.1875,6,19,3,16,0,3,0.1875,10,0,12.455666,7.3930445,3.1547005,3.7236147,7.3411117,3.6445727,1.6547005,2.2996597,0,0,1.1372002,6,0,-0.7168768,-0.41832498,0.15310721,2.2237191,-0.81306124,-0.1798901,0.054835163,2.3074958,-0.49550107,-0.15805942,0.27549195,2.3905437,8.9256821,5.5896149,2.7592583,2.0285542,1.9257299,-2.9510682,0,6.8346047,4.8814888,-0.99993455,2.816011,14,1.0006963,5.7434845,14.0625,5.5576558,3.25,9.664875,3.7139659,2.1262858,2.2434385,10,1,1,0,1.473,-3.39362,4.3019753,1,1,6,1,1,3,1,0,0,1.7264303,-1.7264303,0.1883671,0.14961122,0,12.084102,0,31.616989,0,8.458519,20.098654,0,0,0,13.566921,0,101.79314,0,0.30523676,0.61486566,0.54255438,0.69476324,0.38513437,0.15220886,57.268013,115.36006,101.79314,130.35031,72.258263,28.557173,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,187.61833,0,0,0,187.61833,0,4,1,1,0,0,0,1.1168,25.385227,21.256849,0,152.80502,0,0,0,35.286369,0,13.513671,4.8070002,21.256849,25.385227,152.80502,5.2434282,8.2702427,35.286369,0,0,157.69,0.54356444,5,2.5552752,7.7445035,187.61833,198.80403,0,0,0,0,72.258263,101.79314,13.566921,229.10399,408,25,78
Clc1cc([N+](=O)[O-])c(C)cc1,Toluene  4-chloro-2-nitro- (8CI),DougDB3DMolFile,4.2659998,89-59-8,21.204758,1,1,0,0,0,0,6,0,17,0,0,11,9,32.325607,1.9015064,0,0,7,1,0,6,0,1,2,0,0,2.5185201,-2.238009,-0.47286323,0.50650847,2.3037636,-2.1267724,-0.22778016,0.74357468,2.4319947,-1.995406,-0.20203404,0.78262752,2.5525806,8.2352419,1,0.090909094,6,17,1,11,1,1,0.090909094,10,0,8.4307213,6.6296544,4.2320509,4.8533711,5.1090608,3.3937356,2.2380338,3.0436769,0,0,0.94347745,5,0,-0.72287053,-0.40054509,0.010783941,2.0921762,-0.80926609,-0.15802607,0.22161067,2.2375755,-0.49126503,-0.099602908,0.28675336,2.3500519,3.1444554,2.322366,2.322366,2.8206363,2.8206363,-2.916548,0,4.4745169,4.1989241,0,14,14,1,0,9.090909,3.5999999,2.2145329,7.4451408,2.8832083,1.7384502,1.9514447,3,0,1,0,2.766,-3.06987,4.2425737,1,1,6,1,1,1,0,0,0,0.59864861,-0.59864861,0.47569153,0.43148124,63.233978,24.356276,0,0,0,6.6995511,0,0,29.581947,0,0,0,33.931049,0,0.74252295,0.40248331,0.21502183,0.25747705,0.59751666,0.042455211,117.1722,63.512997,33.931049,40.6306,94.289803,6.6995511,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,157.8028,0,0,0,157.8028,0,3,1,1,0,0,0,2.5566199,0,7.0856161,0,50.935009,3.185575,0,3.5006065,52.929554,0,75.231407,4.2843399,7.0856161,0,50.935009,6.6861815,2.7567475,52.929554,0,72.474655,45.82,0.68403846,4.4594316,2.2397416,6.6242061,157.8028,175.45198,0,0,0,0,123.87175,33.931049,0,171.58299,148,14,52
Clc1c([N+](=O)[O-])cc(Cl)cc1,Benzene  1 4-dichloro-2-nitro-,DougDB3DMolFile,4.2420001,89-61-2,19.624378,1,1,0,0,0,0,6,0,14,0,0,11,9,29.038307,2.0741646,0,0,6,2,0,3,0,1,2,0,0,2.5185201,-2.0883682,-0.62273192,0.6431433,2.2191966,-1.9701356,-0.34633937,0.94450605,2.3822267,-1.8299766,-0.33221346,0.96784878,2.4751065,5.3756208,1,0.090909094,6,14,1,11,1,1,0.090909094,7,0,8.4307213,6.7635479,3.2320509,3.8533711,5.1090608,3.4606824,1.7380339,2.4663265,0,0,1.0747631,5,0,-0.70130557,-0.41171402,0.049058154,1.968037,-0.80907136,-0.15718871,0.36825091,2.1525011,-0.49085918,-0.11684863,0.41306776,2.2430339,3.3622582,1.667504,1.667504,3.3744595,3.3744595,-3.4193065,0,4.6902437,4.1781297,0,14,14,1,0,9.090909,3.5999999,2.2145329,8.551239,3.3638031,2.0570023,2.6149712,3,0,1,0,3.0599999,-3.6436901,4.2138591,1,1,6,1,1,1,0,0,0,0.67442781,-0.67442781,0.4435384,0.38295445,31.616989,24.356276,4.5197463,0,0,6.6995511,0,0,59.163895,0,0,0,33.931049,0,0.74651426,0.58079976,0.21168867,0.25348577,0.41920024,0.04179709,119.65691,93.09494,33.931049,40.6306,67.192558,6.6995511,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,160.28751,0,0,0,160.28751,0,3,1,1,0,0,0,2.9015999,0,7.0856161,0,50.935009,0,0,7.0012131,52.929554,0,81.054039,4.3116398,7.0856161,0,50.935009,7.0012131,2.7567475,52.929554,0,78.297287,45.82,0.68403846,4.4594316,2.2397416,6.6242061,160.28751,175.8313,0,0,0,0,126.35645,33.931049,0,192.00099,148,14,52
O(C)c1c(N)cccc1,Benzenamine  2-methoxy-,DSSTox2DMolFile,4.0110002,90-04-0,20.223137,1,1,0,0,1,0,6,0,18,1,2,9,7,26.87784,1.4932134,0,0,7,0,0,9,0,1,1,0,0,2.3545578,-2.2821994,-0.56153303,0.5955748,2.2100632,-2.3443604,-0.47079939,0.70752859,2.3833883,-1.9767942,-0.40782595,0.74955904,2.5278955,11.094863,1,0.11111111,6,18,0,9,1,1,0.11111111,12,0,6.6902347,5.2949996,4.309401,4.9831276,4.342535,2.7283978,1.8273503,2.6498299,0,0,0.75950432,5,0,-0.80372524,-0.37170079,0.036110755,2.0169029,-1.3341808,-0.25363612,0.14676405,2.1908815,-0.48359376,-0.19291916,0.16152351,2.3178363,2.0026762,4.7066269,1.9253435,1.0487571,1.0487571,-1.2646315,0,3.478442,3.6502881,0,14,14,1,0,7.1111112,3.2396693,1.704142,4.9395695,2.1326251,1.0638617,1.1704721,2,2,1,0,1.188,-1.15614,3.6953747,1,1,6,1,1,1,0,0,0,0.42498314,-0.42498314,0.4263514,0.76857513,63.233978,6.6995511,8.458519,35.658428,0,0,0,0,17.742489,0,0,0,0,2.503756,0.98135656,0.15075755,0.018643463,0.018643463,0.84924245,0,131.79297,20.246246,2.503756,2.503756,114.05048,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,134.29672,0,0,0,134.29672,0,3,0,1,0,0,0.11111111,1.2774,43.897076,0,0,0,0,35.383869,0,70.572739,0,8.0001755,3.7406399,0,10.999887,0,5.2434282,2.7567475,103.46992,0,35.383869,35.25,0.7642045,4.1699252,2.0751474,6.0174446,134.29672,150.20718,2.503756,0,0,17.742489,114.05048,0,20.246246,123.155,86,10,40
O(C)c1c(O)cccc1,Phenol  2-methoxy-,DSSTox2DMolFile,3.6800001,90-05-1,19.258345,1,1,0,0,2,0,6,0,17,1,3,9,7,23.835384,1.4020814,0,0,7,0,0,8,0,0,2,0,0,2.3545578,-2.2501783,-0.60499126,0.6167621,2.2012057,-2.2419622,-0.52386761,0.71806663,2.4055521,-1.9684879,-0.43057695,0.78201616,2.4928012,10.661656,1,0.11111111,6,17,0,9,1,1,0.11111111,11,0,6.6902347,5.1648631,4.309401,4.9831276,4.342535,2.6633296,1.8273503,2.6498299,0,0,0.78730017,5,0,-0.78209138,-0.40691027,0.052514356,1.9819936,-0.88684285,-0.28934059,0.14314279,2.1795492,-0.48341274,-0.20504874,0.16645521,2.2656686,1.8144681,4.3985949,2.4951048,1.2627419,1.2626549,-1.3072017,0,3.42733,3.4915915,-0.0097514549,9.0066748,14,1.0563887,0.005842004,7.1111112,3.2396693,1.704142,5.2900672,2.3085144,1.1641033,1.3569107,2,1,1,0,1.552,-1.07331,3.5403683,0,1,6,1,1,1,0,0,0,0.5134955,-0.5134955,0.35294706,0.63410723,63.233978,0,8.458519,44.116947,0,0,0,0,0,0,13.566921,0,0,2.503756,0.98101491,0.12185822,0.018985091,0.018985091,0.87814176,0,129.37637,16.070677,2.503756,2.503756,115.80945,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,131.88013,0,0,0,131.88013,0,3,0,1,0,0,0.11111111,1.4008,36.385113,0,0,0,0,35.383869,0,70.572739,0,10.486856,3.4658799,0,36.385113,0,10.486856,0,70.572739,0,35.383869,29.459999,0.7642045,4.1699252,2.0751474,6.0174446,131.88013,147.43423,2.503756,0,0,0,115.80945,0,16.070677,124.139,86,10,40
Clc1c2c(ccc1)cccc2,Naphthalene  1-chloro-,DSSTox2DMolFile,5.007,90-13-1,24.447552,0,0,1,1,0,0,10,0,18,0,0,11,11,22.187885,1.2326603,0,0,10,1,0,7,0,0,0,0,0,2.0351064,-2.2004404,-0.6277402,0.67181849,2.156955,-1.9792931,-0.49012417,0.83249724,2.3917692,-1.8447689,-0.45707235,0.86756676,2.5242472,8.0724487,0,0,11,19,0,12,1,0,0,8,0,7.6817985,6.6753454,5.5414519,6.6817985,5.3770099,3.888314,3.3213673,4.7996597,0,0,0.79293168,5,0,-0.74678808,-0.38228238,0.076737501,2.1284857,-0.54234242,-0.23851302,0.23672296,2.3547111,-0.40078512,-0.19280058,0.26246423,2.4768102,0.24056117,1.6172911,1.6172911,3.6806407,3.6806407,-3.440922,0,5.5230789,4.6710858,0,14,14,1,0,7.6388888,3.1640625,1.4512472,5.9122877,2.3790421,1.063134,1.2786893,0,0,1,0,3.7179999,-3.99705,4.8286166,0,1,11,1,2,0,0,0,0,0.082244791,-0.082244791,0.70090318,1,115.07654,4.5197463,0,0,0,0,0,0,29.581947,0,0,0,0,0,1,0.19829935,0,0,0.80170065,0,149.17824,29.581947,0,0,119.59629,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,149.17824,0,0,0,149.17824,0,3,0,2,0,0,1,3.4932001,0,0,0,0,0,0,3.5006065,128.64822,0,39.148643,4.8958001,0,0,0,3.5006065,5.1459289,123.50229,0,39.148643,0,0.71860999,4.5849624,2.1648667,6.6281958,149.17824,196.18715,0,0,0,0,149.17824,0,0,162.619,140,15,56
n1c2c(ccc1)cccc2,Quinoline,DSSTox2DMolFile,3.5309999,91-22-5,21.607552,1,1,0,0,1,0,10,0,17,0,1,10,9,21.306059,1.2532976,0,0,9,0,0,7,0,1,0,0,0,1.973451,-2.1713448,-0.62807006,0.66892219,2.129324,-1.9940552,-0.52923346,0.76899832,2.3211505,-1.8288258,-0.47004721,0.8322624,2.4791813,8.9724493,0,0,11,18,0,11,0,0,0,7,0,6.8115549,5.4886656,5.0414519,6.1044478,4.9663267,3.2644978,2.782692,4.0580783,0,0,0.71342081,5,0,-0.74270761,-0.39417234,0.079379499,2.0709693,-0.7061733,-0.27635372,0.1599198,2.2462344,-0.40203291,-0.20399275,0.19491319,2.401057,2.0901582,2.4885702,2.4885702,2.1358242,2.1592503,-2.3838608,0,5.2783813,4.1111498,0.053666573,14,8.2463408,1.2326581,0.032884631,6.6942148,2.9387755,1.3827161,4.1994271,1.7334893,0.774854,0.72796619,1,0,1,0,2.108,-1.97342,4.2044287,0,1,11,1,2,0,0,0,0,0.24383785,-0.24383785,0.40529588,1,97.059509,26.999058,0,0,0,0,0,0,0,0,0,5.6825762,0,0,0.95620066,0.043799337,0.043799337,0.043799337,0.95620066,0,124.05856,5.6825762,5.6825762,5.6825762,124.05856,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,129.74113,0,0,0,129.74113,0,3,0,2,0,0,0.89999998,2.2348001,0,16.78553,0,0,0,0,0,127.79057,0,0,4.1743002,0,16.78553,0,0,4.7171016,123.07346,0,0,12.89,0.76016748,4.4594316,2.1166077,6.3344417,129.74113,171.15564,5.6825762,0,0,0,124.05856,0,5.6825762,129.162,109,12,50
c1(-c2ccccc2)ccccc1,1 1'-Biphenyl,DSSTox2DMolFile,4.9089999,92-52-4,27.78793,0,0,1,1,0,0,12,0,22,0,0,12,12,21.868664,0.99403024,0,0,12,0,0,10,0,0,0,0,0,1.829927,-2.2460942,-0.64847428,0.69811022,2.1823444,-2.0308137,-0.53807992,0.80591482,2.4017565,-1.8955629,-0.49986199,0.85431087,2.5399663,10.93207,1,0.07692308,12,23,0,13,0,1,0.07692308,11,0,8.2257681,6.7735028,6.7735028,8.2257681,5.9663267,4.0713673,4.0713673,5.9663267,0,0,0.67246038,7,0,-0.75408065,-0.38882184,0.079730876,2.1769762,-0.55015075,-0.26386139,0.16445385,2.37623,-0.405882,-0.21605732,0.19305076,2.5045691,0,2.3899519,2.3899519,3.5460722,3.5460722,-4.4391522,0,6.3194342,5.1123281,0,14,14,1,0,8.5917158,4.296875,2.25,5.5050058,2.626739,1.324945,1.2050178,0,0,1,0,3.8659999,-3.81126,5.2112579,0,1,12,1,2,1,0,0,0,0,0,0,0,162.50203,0,0,0,0,0,0,162.50203,0,0,0,0,0,0,1,0,0,0,1,0,162.50203,0,0,0,162.50203,0,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,162.50203,0,0,0,162.50203,0,4,0,2,0,0,1,3.3536,0,0,0,0,0,0,0,182.80299,0,0,5.1877999,0,0,0,0,6.37115,176.43184,0,0,0,0.68129086,4.7004399,2.5500309,6.8458409,162.50203,214.33531,0,0,0,0,162.50203,0,0,154.21199,198,14,58
Oc1ccc(-c2ccccc2)cc1,(1 1'-Biphenyl)-4-ol,DSSTox2DMolFile,4.6669998,92-69-3,28.58993,0,0,1,1,1,0,12,0,23,1,2,13,12,27.803095,1.2088301,0,0,12,0,0,10,0,0,1,0,0,1.8146442,-2.2477696,-0.64637786,0.70183122,2.193949,-2.0308936,-0.53807992,0.80591482,2.4233122,-1.902195,-0.49986199,0.85431087,2.5457575,10.93207,1,0.071428575,12,24,0,14,0,1,0.071428575,12,0,9.0960121,7.1433659,6.6961522,8.0960121,6.3601732,4.2056575,3.9820509,5.7828231,0,0,0.72321385,8,0,-0.7658844,-0.38613334,0.08188501,2.200155,-0.7616787,-0.26386139,0.16445385,2.4065065,-0.42962041,-0.21605732,0.19305076,2.522712,0.84508145,4.263195,2.4216099,3.0606871,3.0565557,-3.2774913,0,6.5124922,5.318347,-0.014022954,8.8470278,14,1.0765494,0.0084191598,9.5510206,4.4814816,2.4793389,6.3616672,2.8714383,1.5365264,1.4051642,1,1,1,0,3.5580001,-3.4493101,5.379446,0,1,12,1,2,1,0,0,0,0.18995439,-0.18995439,0.68905312,1,146.69353,0,8.458519,0,0,0,0,47.425484,0,0,13.566921,0,0,0,1,0.080411352,0,0,0.91958863,0,168.71896,13.566921,0,0,155.15205,0,0.5,1,0,0,0,0,1,0,0,0,1,0,168.71896,0,0,0,168.71896,0,4,0,2,0,0,1,3.0592,25.385227,0,0,0,0,0,0,165.15981,0,5.2434282,5.35428,0,25.385227,0,5.2434282,6.37115,158.78867,0,0,20.23,0.64772749,4.8073549,2.705795,7.0702243,168.71896,221.41583,0,0,0,0,155.15205,0,13.566921,170.211,252,16,64
