mol,Name,Source,Tox,CAS,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
O=C(OCC)CC(=O)C,ethylacetoacetate,,2.5999999,141-97-9,19.63393,1,1,0,0,2,0,0,0,19,0,2,9,4,27.226679,1.4329832,0,0,6,0,0,10,0,0,3,0,0,3.195282,-2.3944211,-0.23002243,0.056303453,2.4506047,-2.443543,-0.089676313,0.123,2.4035592,-2.1698999,0.047342893,0.1057,2.6735613,14.76407,3,0.375,0,18,2,8,3,4,0.5,16,0,7.276021,5.6389585,4.4142137,4.5689139,4.1639023,2.8152611,1.9142135,2.1009536,0,0,0.83387703,6,0,-0.76318121,-0.38215071,-0.10369655,2.016902,-0.84677804,-0.26876932,-0.037,1.9839956,-0.51367712,-0.13105057,-0.054299999,2.2289522,3.8730445,5.0594883,5.0594883,0.61260921,0.61259383,-0.9036755,0,1.6451048,3.3176634,-4.35E-05,11.361718,14,1.0004803,2.59E-05,9,4.8395061,5.8775511,7.1872501,3.7420247,4.4037552,2.9883184,3,0,1,0,0.169,-0.54654998,3.3867536,0,1,0,1,0,3,0,0,0,0.86029655,-0.86029655,0.32477176,0.34991863,29.408449,29.408449,0,46.325489,0,14.708499,0,0,0,0,0,0,27.133842,2.503756,0.70334774,0.19826007,0.19826007,0.29665226,0.80173993,0.098392189,105.14239,29.637598,29.637598,44.346096,119.85088,14.708499,0.5,1,0,0,0,0,1,0,0,0,1,0,149.48848,0,0,0,149.48848,0,3,1,0,0,0,0.33333334,0.52859998,0,13.433075,58.724319,20.926258,0,0,0,0,18.868406,66.652031,3.1931,58.724319,0,0,0,0,18.868406,34.359333,66.652031,43.369999,0.71696228,4,2.4313922,5.9750462,149.48848,143.98166,27.133842,0,0,0,96.683868,25.670774,27.133842,130.14299,102,7,34
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Hexachlorobenzene,,6.3200002,118-74-1,23.639999,0,0,1,1,0,0,6,0,12,0,0,12,12,12,1,0,0,6,6,0,0,0,0,0,0,0,2.8055034,-2.0581884,-0.70476711,0.64411432,2.1598027,-1.7911184,-0.14165232,1.2411727,2.4469874,-1.7119048,-0.16316724,1.1909693,2.509177,2.52,0,0,6,12,0,12,1,0,0,6,0,9.4641018,9.8033609,3,3.4641016,5.4641018,4.9016805,1.5,2,0,0,1.2679294,5,0,-0.64887756,-0.42333499,-0.011846246,1.8669034,-0.43413952,0.065799281,0.67710537,2.2044857,-0.33355156,0.082133621,0.59056151,2.245892,1.5909172,0,0,5.9379005,5.9379005,-5.5865898,0,4.2321668,5.2128315,0,14,14,1,0,10.083333,3.3950617,1.5625,16.265636,5.7150865,2.7184546,7.7466264,0,0,1,1,5.4460001,-5.7906199,5.2615614,0,1,6,1,1,0,1,0,0,0.48256004,-0.48256004,0.16666667,0.16666667,0,27.118479,0,0,0,0,0,0,177.49168,0,0,0,0,0,1,0.86746269,0,0,0.13253731,0,204.61015,177.49168,0,0,27.118479,0,0.2,0.25,0,0,0,0,1,0,0,0,1,0,204.61015,0,0,0,204.61015,0,4,0,1,0,0,1,5.6069999,0,0,0,0,0,0,21.003639,0,0,234.89186,5.6501999,0,0,0,21.003639,0,0,0,234.89186,0,0.65002245,4.5849624,2.1339197,6.9102907,204.61015,224.60556,0,0,0,0,204.61015,0,0,284.784,174,21,60
FC(F)(F)C(=O)c1ccc(OC)cc1,4'-methoxy-2 2 2-trifluoroacetophenone,,3.9200001,711-38-6,23.782551,1,1,0,0,2,0,6,0,21,0,2,14,11,37.302967,1.7763319,0,0,9,0,3,7,0,0,2,0,0,2.438412,-2.2549498,-0.57892293,0.53105628,2.4045825,-2.2711711,-0.50124633,0.6434378,2.3648427,-1.9848671,-0.38121521,0.71800935,2.5725989,14.135449,2,0.14285715,6,21,1,14,2,3,0.21428572,14,0,10.767585,7.2597909,5.309401,6.0604777,6.4477072,3.7048104,2.3213673,3.2550015,0,0,0.97200018,8,0,-0.78905129,-0.40449423,-0.011883525,2.141314,-0.8867929,-0.29300809,0.25373238,2.2388368,-0.48337823,-0.20209584,0.1403452,2.397177,3.093142,3.4076807,3.4076807,2.9609306,2.9609306,-2.8654943,0,4.1722932,4.4510536,0,14,14,1,0,12.071428,4.6799998,3.2727273,8.9666643,3.388696,2.3236189,2.1703784,2,0,1,0,2.3517599,-2.8231599,4.4952412,0,1,6,1,1,2,0,0,0,1.0993258,-1.0993258,0.41429755,0.29807797,65.44252,8.458519,0,35.658428,0,8.458519,9.0455017,0,0,0,35.725906,0,13.566921,2.503756,0.81228513,0.28959277,0.08985056,0.18771489,0.71040726,0.09786433,145.28537,51.796585,16.070677,33.574699,127.06349,17.504021,0.5,1,0,0,0,0,1,0,0,0,1,0,178.86008,0,0,0,178.86008,0,4,1,1,0,0,0.5714286,2.4402001,10.999887,13.447127,0,0,27.047791,35.383869,0,70.572739,0,50.123768,4.3379502,23.862217,55.880226,7.7595162,8.4290028,0,70.572739,5.6876111,35.383869,26.299999,0.59167278,4.8073549,2.7841825,7.2925968,178.86008,202.76846,16.070677,0,0,0,154.33087,8.458519,16.070677,204.14699,312,19,68
Oc1cc2c(-c3c(cccc3)C2)cc1,2-hydroxyfluorene,,5.5599999,2443-58-5,30.34993,1,1,0,0,1,0,12,0,24,1,2,14,13,28.714102,1.1964209,0,0,13,0,0,10,0,0,1,0,0,1.7615395,-2.2744715,-0.65627986,0.70903301,2.4026797,-2.1744902,-0.53985381,0.78105426,2.5639496,-1.9852917,-0.49092951,0.88092446,2.7315638,10.93207,0,0,12,26,0,16,0,0,0,14,0,9.5436058,7.6957722,7.2485585,8.5436058,6.8433366,4.7460976,4.522491,6.2659864,0,0,0.74215472,7,0,-0.76482618,-0.41406545,0.10900914,2.3845534,-0.7618438,-0.27270579,0.1535899,2.5639517,-0.46944007,-0.20944811,0.23234041,2.7023013,0.84239453,4.2751174,2.4253621,3.0499074,3.045799,-3.3953309,0,6.5125608,5.6029119,-0.015650162,8.7986307,14,1.0839254,0.009403854,9.2421875,3.5387523,1.546875,6.3596392,2.3570638,1.0047847,1.0707197,1,1,1,0,3.671,-3.9201901,5.6129189,0,1,15,1,3,0,0,0,0,0.23581074,-0.23581074,0.55377138,0.80558115,47.425484,15.808495,8.458519,0,0,0,0,72.068138,0,0,13.566921,0,0,0,1,0.54431063,0,0,0.4556894,0,157.32756,85.635056,0,0,71.692497,0,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,157.32756,0,0,0,157.32756,0,4,0,3,0,0,0,2.9633701,25.385227,0,0,0,6.37115,18.868406,0,129.87344,0,5.2434282,5.6348801,0,25.385227,0,11.614578,6.37115,142.3707,0,0,20.23,0.64206427,5,2.5405099,7.319962,157.32756,231.94893,0,0,0,0,143.76064,0,13.566921,182.222,274,21,78
Clc1ccc(NN)cc1,(p-chlorophenyl)hydrazine HCl,,4.8499999,1073-70-7,19.607552,1,1,0,0,1,0,6,0,16,2,3,9,7,26.838741,1.6774213,0,0,6,1,0,7,0,2,0,0,0,2.2327912,-2.2886863,-0.64229739,0.70363706,2.1653569,-2.5493116,-0.53807992,0.80591482,2.3496671,-1.9234062,-0.49986199,0.85431087,2.5223432,6.752449,1,0.11111111,6,16,0,9,1,1,0.11111111,10,0,6.6902347,5.5206447,3.309401,3.9831276,4.3256984,2.9269891,1.8213673,2.6329932,0,0,0.89451391,6,0,-0.85769755,-0.38098243,0.082904667,1.9524118,-1.4017242,-0.26386139,0.23934953,2.1342909,-0.45395273,-0.21605732,0.27220082,2.27899,2.8048239,4.2153835,0.72870708,1.1802199,1.1802199,-1.5828724,0,3.5485654,3.7617776,0,14,14,1,0,7.1111112,3.2396693,2,5.916132,2.6256013,1.5801311,1.7259338,2,3,1,0,1.265,-1.81998,3.8139868,1,1,6,1,1,1,0,0,0,0.18385868,-0.18385868,0.3874211,0.46868947,63.233978,11.219297,0,0,0,0,0,21.480953,39.002987,0,0,0,0,0,1,0.44823766,0,0,0.55176234,0,134.93721,60.48394,0,0,74.453278,0,0.5,1,0,0,0,0,1,0,0,0,1,0,134.93721,0,0,0,134.93721,0,3,1,1,0,0,1,1.6256,32.774666,17.888229,0,0,0,0,3.5006065,70.572739,0,41.905392,3.9262099,0,0,0,3.5006065,53.41964,70.572739,0,39.148643,38.049999,0.7642045,4.1699252,2.2501361,5.9860415,134.93721,151.51581,0,0,0,9.4210396,104.03522,0,30.901993,142.589,90,9,40
S(=O)(=O)(c1ccccc1)c1ccccc1,phenyl sulfone,,4.1399999,127-63-9,32.291931,1,1,0,0,2,0,12,0,25,0,2,15,12,37.857574,1.514303,0,0,12,0,0,10,0,0,2,0,1,1.9746583,-2.3474712,-0.62746847,0.71612835,2.3690331,-2.2801948,-0.53807992,0.80591482,2.4314692,-1.9746507,-0.49986199,0.85431087,2.7376316,17.40807,2,0.125,12,26,0,16,2,2,0.125,14,0,10.725768,8.814744,6.7735028,8.2257681,7.2103434,6.0461121,3.8213673,5.6329932,0,0,0.821527,8,0,-0.86073375,-0.36044037,0.090593047,2.3090689,-0.76632577,-0.26386139,0.16445385,2.3996518,-0.41393283,-0.21605732,0.19305076,2.6011438,3.1955028,5.238646,5.238646,3.0012665,3.0012665,-3.5214055,1.3542719,6.129703,6.0982709,0,14,14,1,0,11.484375,4.8884296,2.5714285,9.1178274,3.8115144,1.97539,2.3168485,2,0,1,0,2.7579999,-3.3494301,6.2052255,0,1,12,1,2,2,0,0,0,1.0078126,-1.0078126,0.27500623,0.46268222,94.850967,0,63.233978,0,0,8.3692026,0,0,6.5127993,0,0,0,0,32.016521,0.8029806,0.18796307,0.15619075,0.19701943,0.81203693,0.040828671,164.59775,38.529324,32.016521,40.385727,166.45415,8.3692026,0.5,1,0,0,0,0,1,0,0,0,1,0,204.98347,0,0,0,204.98347,0,4,0,2,0,0,1,2.5193999,0,48.171688,6.8792672,0,0,3.1014678,0,176.43184,0,0,5.83358,48.171688,0,3.1014678,0,0,176.43184,0,6.8792672,34.139999,0.59002918,5,2.7087541,7.5224242,204.98347,253.42563,32.016521,0,0,0,166.45415,6.5127993,32.016521,218.276,352,22,76
Oc1c2nc(C)ccc2ccc1,8-hydroxyquinaldine,,3.97,826-81-3,25.503138,1,1,0,0,2,0,10,0,21,1,3,12,10,30.490061,1.4519076,0,0,10,0,0,9,0,1,1,0,0,2.038645,-2.2463429,-0.68283916,0.72195274,2.2256217,-2.1172578,-0.58684975,0.77964634,2.3969607,-1.9618471,-0.51831526,0.88584912,2.5362802,11.158863,0,0,11,22,0,13,1,0,0,11,0,8.552042,6.7811785,5.8867512,6.8449349,5.7708569,3.825521,3.1547005,4.3770099,0,0,0.76292551,6,0,-0.75473285,-0.4240633,0.10710214,2.1925464,-0.76207763,-0.28607455,0.15407105,2.3692656,-0.47994933,-0.22041161,0.23814656,2.5066667,2.8910761,4.4418864,2.4483471,1.8062377,1.9421703,-2.3647883,0,5.4774189,4.7723575,-0.014163028,8.161171,8.274869,2.6490967,0.29478702,8.5917158,3.3950617,1.7013233,5.8860607,2.23598,1.0859476,1.0967596,2,1,1,0,2.0569999,-1.92486,4.8187418,0,1,11,1,2,0,0,0,0,0.43594053,-0.43594053,0.34029734,0.56790817,81.251015,36.108002,15.158071,0,0,0,0,0,0,0,13.566921,5.6825762,0,0,0.96255714,0.12683621,0.037442867,0.037442867,0.87316382,0,146.084,19.249496,5.6825762,5.6825762,132.51709,0,0.5,1,0,0,0,0,1,0,0,0,1,0,151.76659,0,0,0,151.76659,0,3,0,2,0,0,0.25,2.2488201,25.385227,16.78553,0,0,2.7567475,0,0,92.933022,0,38.569443,4.8144798,0,42.170757,0,8.0001755,4.7171016,88.215919,0,33.326015,33.119999,0.68129086,4.7004399,2.3138676,6.8807383,151.76659,196.76364,5.6825762,0,0,0,132.51709,0,19.249496,159.188,180,17,62
Clc1c(O)ccc(C(=O)OC(C)C)c1,3-chloro-4-hydroxybenzoic acid isopropyl ester,,5.0500002,37470-50-1,29.520723,1,1,0,0,2,0,6,0,25,1,3,14,10,40.068489,1.6027396,0,0,10,1,0,11,0,0,3,0,0,2.4009333,-2.4971621,-0.65733176,0.69053251,2.4868736,-2.4945679,-0.43343371,0.76705366,2.5101948,-2.2698338,-0.40480688,0.90416729,2.7150419,15.319277,2,0.14285715,6,25,1,14,2,3,0.21428572,18,0,10.715178,8.7070045,6.309401,7.0080719,6.5029078,4.5772386,3.1427345,3.9543605,0,0,0.88889289,8,0,-0.76965111,-0.39484251,0.065007173,2.2044094,-0.83247381,-0.18865222,0.16377196,2.3097394,-0.52186948,-0.15084741,0.2688165,2.4681973,3.5188208,5.4284301,3.4413362,2.6384275,2.605881,-2.8449802,0,4.6215658,5.4299912,-0.86884665,6.1788363,14,1.4748961,1.2110472,12.071428,5.1855955,3.5918367,10.452465,4.4364862,3.044785,3.3123012,3,1,1,0,2.9690001,-2.79337,5.4807119,0,1,6,1,1,2,0,0,0,0.82889038,-0.82889038,0.35673359,0.36262172,106.24239,6.7282863,16.917038,0,0,14.708499,0,0,29.581947,0,13.566921,0,13.566921,2.503756,0.84898531,0.29055431,0.07884904,0.1510147,0.70944571,0.072165668,173.03658,59.219543,16.070677,30.779177,144.59621,14.708499,0.5,1,0,0,0,0,1,0,0,0,1,0,203.81575,0,0,0,203.81575,0,4,0,1,0,0,0.2857143,2.6108,25.385227,7.7454643,17.468536,0,27.047791,0,3.5006065,52.929554,0,111.04411,5.3668299,34.862103,25.385227,0,18.398258,0,52.929554,7.7454643,105.80067,46.529999,0.59167278,4.8073549,2.7930849,7.2986236,203.81575,229.00397,13.566921,0,0,0,159.46965,17.212255,27.133842,214.64799,316,18,66
Sc1cc(C)c(C)cc1,3 4-Dimethylthiophenol,,4.9499998,18800-53-8,23.64793,1,1,0,0,0,0,6,0,19,0,0,9,8,23.491343,1.2363864,0,0,8,0,0,10,0,0,0,0,1,2.4091668,-2.3521504,-0.36925933,0.38802505,2.2945065,-2.1958354,-0.25066495,0.50793779,2.4591117,-2.05809,-0.16505103,0.59099185,2.6057315,13.21207,0,0,6,19,0,9,1,0,0,13,0,6.8533711,6.5736914,5.2320509,5.8533711,4.1983771,3.4088542,2.7380338,3.621027,0,0,0.7597689,5,0,-0.76557851,-0.33447757,-0.067945361,2.1151993,-0.6120103,-0.2142249,0.042603128,2.290606,-0.47907478,-0.12439889,0.11050775,2.4234576,0.57966191,2.3093939,0.84000075,2.9860003,2.9466031,-2.6829011,0,3.3187802,4.2224317,-0.744578,6.5353479,14,1.7651114,0.81366837,7.1111112,2.7222223,1.704142,6.4160252,2.4209919,1.494592,1.7259051,0,0,1,0,3.026,-3.3506999,4.3468451,0,1,6,1,1,0,0,0,0,0.10579693,-0.10579693,0.33413288,0.47944459,94.618492,0,0,0,0,0,0,20.225574,31.384512,0,0,0,0,0,1,0.35294119,0,0,0.64705884,0,146.22858,51.610085,0,0,94.618492,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,146.22858,0,0,0,146.22858,0,3,1,1,0,0,0,2.59214,0,0,0,0,6.37115,1.5507339,0,52.929554,46.107109,66.652031,4.3168998,0,0,1.5507339,6.37115,0,52.929554,0,112.75914,38.799999,0.7642045,4.1699252,2.0374763,6.0213828,146.22858,168.67497,0,0,0,0,114.84406,31.384512,0,138.23399,84,10,42
NCCc1ccc(C)cc1,2-(p-tolyl)ethylamine,,4.5500002,3261-62-9,25.608309,1,1,0,0,1,0,6,0,23,1,2,10,9,27.406883,1.1916037,0,0,9,0,0,13,0,1,0,0,0,2.1695135,-2.4859774,-0.4274185,0.50464147,2.4160199,-2.666177,-0.31771994,0.60867655,2.4432704,-2.2094369,-0.30115134,0.63608879,2.6941006,13.551691,2,0.2,6,23,0,10,3,2,0.2,17,0,7.3973413,6.3009648,5.7236147,6.3973413,4.8256984,3.583169,3.1749206,4.1185918,0,0,0.69142407,7,0,-0.83927274,-0.32712927,0.039138418,2.2136514,-1.3632274,-0.20467488,0.12770256,2.3167911,-0.50865006,-0.16528155,0.12285279,2.4951663,2.0477433,2.5049162,1.7401406,-0.63955885,2.1947103,-2.192699,0,3.0649538,4.3234434,0.99854356,14,4.1639309,1.011029,3.8939977,8.1000004,4,2.6508875,6.2298064,2.9756629,1.9185718,1.8537804,1,2,1,0,1.548,-1.5851901,4.4090767,0,1,6,1,1,2,0,0,0,0.19183478,-0.19183478,0.59410965,0.68297589,45.216946,0,20.299505,0,0,0,0,67.651054,0,17.742489,0,0,0,0,1,0.56585747,0,0,0.43414253,0,150.91,85.393547,0,0,65.516449,0,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,150.91,0,0,0,150.91,0,4,0,1,0,0,0,1.49619,32.897186,0,0,18.439579,6.37115,18.868406,0,70.572739,0,33.326015,4.3937402,0,0,0,6.37115,32.897186,89.441139,18.439579,33.326015,26.02,0.72192812,4.321928,2.4925668,6.2827125,150.91,176.60074,0,0,0,0,133.16751,0,17.742489,135.20999,127,10,44
O(C)c1c(O)cc(CO)cc1,3-hydroxy-4-methoxybenzyl alcohol,,2.76,4383/6/6,23.153931,1,1,0,0,3,0,6,0,21,2,5,11,8,30.264498,1.4411665,0,0,8,0,0,10,0,0,3,0,0,2.3824289,-2.3169377,-0.66178882,0.66239041,2.2890108,-2.2498324,-0.6315527,0.63296056,2.4701221,-2.0385432,-0.48793849,0.81025243,2.5711486,12.84807,2,0.18181819,6,21,0,11,2,2,0.18181819,15,0,8.2675848,6.2418332,4.9391575,5.5604777,5.2743869,3.2437942,2.0915873,2.8745749,0,0,0.83265799,7,0,-0.79057878,-0.43757889,0.098325022,2.125839,-0.88686824,-0.34137285,0.042752218,2.3009717,-0.49561486,-0.23393308,0.19902365,2.4000094,3.1060522,6.2602177,3.1169431,0.9010365,0.90023607,-1.1187537,0,3.4277217,4.1261268,-0.013263887,8.8715305,14,1.0730568,0.007960372,9.090909,4.1326532,2.2145329,7.1800485,3.1784728,1.6630583,2.0746899,3,2,1,0,1.067,-0.84433001,4.144958,0,1,6,1,1,2,0,0,0,0.72867638,-0.72867638,0.28635713,0.44685331,49.634022,0,8.458519,44.116947,22.058474,0,0,0,0,0,13.566921,13.566921,0,2.503756,0.75225621,0.19257002,0.10441907,0.24774382,0.80742997,0.14332473,115.77641,29.637598,16.070677,38.12915,124.26797,22.058474,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,153.90556,0,0,0,153.90556,0,4,0,1,0,0,1,1.1595,61.77034,0,0,0,3.185575,35.383869,0,52.929554,0,31.413115,4.07866,0,61.77034,0,13.672431,0,73.855812,0,35.383869,49.689999,0.68403846,4.4594316,2.4506505,6.5951586,153.90556,173.04224,2.503756,0,0,0,124.26797,0,29.637598,154.16499,156,14,50
ClC(Cl)(Cl)C(Cl)(Cl)Cl,Hexachloroethane,,5.6599998,67-72-1,16.6,0,0,1,1,0,0,0,0,8,0,0,8,6,6.4902248,0.8112781,0,0,2,6,0,0,0,0,0,0,0,4.0203915,-2.186764,-0.078804463,-0.078804463,2.4314916,-2.2319777,0.68949997,0.68949997,2.4750524,-1.9229521,0.58530003,0.58530003,2.6950617,2.52,0,0,0,7,0,7,3,1,0.14285715,7,0,7,7.8033605,1,1,3.25,3.6516802,0.25,0.25,0,0,1.4937216,3,0,-0.59056479,-0.23880446,-0.23880446,1.6135679,-0.80008638,0.52950001,0.52950001,1.8763074,-0.3919934,0.4253,0.4253,1.97452,1.571239,0,0,4.5563836,4.5563836,-3.930429,0,0,3.506356,0,14,14,1,0,8,1.75,2.2222223,20.764238,5.1587162,7.2869682,13.389603,0,0,1,0,3.30616,-4.4060602,3.6309898,1,1,0,1,0,0,0,0,0,0.47282678,-0.47282678,0.5,0.16666667,0,0,0,0,0,0,0,0,177.49168,0,0,0,0,0,1,1,0,0,0,0,177.49168,177.49168,0,0,0,0,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,177.49168,0,0,0,177.49168,0,2,1,0,0,0,1,3.7268,0,0,0,0,0,0,0,0,0,234.89186,4.0580001,0,0,0,0,0,0,0,234.89186,0,0.75787848,3.8073549,1.5501993,5.7063603,177.49168,158.49004,0,0,0,0,177.49168,0,0,236.73999,58,9,38
ClC(Cl)Cl,Chloroform,,2.3399999,67-66-3,8.9667931,1,1,0,0,0,0,0,0,5,0,0,4,3,6.854753,1.3709506,0,0,1,3,0,1,0,0,0,0,0,2.3237901,-1.9368912,-0.087033011,-0.00310636,2.0721002,-1.8752456,0.40175757,0.68949997,2.2247593,-1.6440728,0.34583873,0.58530003,2.3820646,2.3532071,0,0,0,4,0,3,2,0,0,4,0,3.5773504,3.9790306,0.57735026,0.57735026,1.7320508,1.963961,0,0,0,0,1.4219949,2,0,-0.59503132,-0.24703301,-0.16154699,1.2079014,-0.68716395,0.23521386,0.52950001,1.5264932,-0.37391308,0.1944696,0.4253,1.5789586,0.87778258,0.72892159,0.72892159,2.2008309,2.2008309,-1.7293829,0,0,1.838093,0,14,14,1,0,4,1.3333334,0,11.37723,5.5037432,0,15.654337,0,0,1,0,1.73808,-1.32287,2.0173111,1,1,0,1,0,0,0,0,0,0.23641339,-0.23641339,1,0.33333334,0,0,0,0,9.1421604,0,0,0,88.745842,0,0,0,0,0,0.9066059,0.9066059,0,0.093394086,0.093394086,0.093394086,88.745842,88.745842,0,9.1421604,9.1421604,9.1421604,0.5,1,0,0,0,0,1,0,0,0,1,0,97.888,0,0,0,97.888,0,1,1,0,0,0,1,1.9864,0,0,5.3558908,0,0,0,0,0,0,117.44593,2.1347001,0,0,0,5.3558908,0,0,0,117.44593,0,0.95443398,2.5849626,1,3.5032582,97.888,83.24221,0,0,0,0,88.745842,9.1421604,0,119.378,9,0,12
O=C(CC)c1ccccc1,propiophenone,,4.3899999,93-55-0,23.309931,1,1,0,0,1,0,6,0,20,0,1,10,8,24.689957,1.2344978,0,0,9,0,0,10,0,0,1,0,0,2.2869501,-2.3791533,-0.60144103,0.64883113,2.4022176,-2.3152587,-0.49271756,0.73039067,2.4820523,-2.141705,-0.45679849,0.79792911,2.6586025,11.89007,2,0.2,6,20,1,10,2,2,0.2,13,0,7.3973413,6.0021062,5.5938582,6.3973413,4.842535,3.425468,3.2213438,4.2651849,0,0,0.71391344,6,0,-0.75107002,-0.3737649,0.072112709,2.116329,-0.77808464,-0.2492294,0.15525174,2.2242658,-0.50914818,-0.20418036,0.18068588,2.3975742,1.688946,3.0831373,3.0831373,2.222887,2.222887,-2.2048893,0,3.9672279,4.1229277,0,14,14,1,0,8.1000004,4,2.2857144,5.5951948,2.6337521,1.4463648,1.4736356,1,0,1,0,2.234,-1.8989201,4.2431688,0,1,6,1,1,2,0,0,0,0.29133886,-0.29133886,0.59393674,1,110.65946,15.808495,0,8.458519,0,0,0,0,0,0,0,0,13.566921,0,0.90863621,0.091363795,0.091363795,0.091363795,0.90863621,0,134.92648,13.566921,13.566921,13.566921,134.92648,0,0.5,1,0,0,0,0,1,0,0,0,1,0,148.49339,0,0,0,148.49339,0,3,1,1,0,0,0.60000002,2.2793,0,5.6876111,0,0,27.047791,0,0,88.215919,18.868406,33.326015,4.1063499,23.862217,0,0,3.185575,0,107.08433,5.6876111,33.326015,17.07,0.72192812,4.321928,2.3375406,6.3134742,148.49339,173.82779,13.566921,0,0,0,126.46796,8.458519,13.566921,134.17799,121,11,44
